student,date,effortScore,class,acPercentile
Braydon Wessels,01/08/2021,53,Music,0.53
Braydon Wessels,02/08/2021,54,Music,0.54
Braydon Wessels,03/08/2021,55,Music,0.55
Braydon Wessels,04/08/2021,56,Music,0.56
Braydon Wessels,05/08/2021,57,Music,0.57
Braydon Wessels,06/08/2021,58,Music,0.58
Braydon Wessels,07/08/2021,59,Music,0.59
Braydon Wessels,08/08/2021,60,Music,0.6
Braydon Wessels,09/08/2021,61,Music,0.61
Braydon Wessels,10/08/2021,62,Music,0.62
Braydon Wessels,11/08/2021,63,Music,0.63
Braydon Wessels,12/08/2021,64,Music,0.64
Lindsay McNeil,01/08/2021,54,Music,0.54
Lindsay McNeil,02/08/2021,55,Music,0.55
Lindsay McNeil,03/08/2021,56,Music,0.56
Lindsay McNeil,04/08/2021,57,Music,0.57
Lindsay McNeil,05/08/2021,58,Music,0.58
Lindsay McNeil,06/08/2021,59,Music,0.59
Lindsay McNeil,07/08/2021,60,Music,0.6
Lindsay McNeil,08/08/2021,61,Music,0.61
Lindsay McNeil,09/08/2021,62,Music,0.62
Lindsay McNeil,10/08/2021,63,Music,0.63
Lindsay McNeil,11/08/2021,64,Music,0.64
Lindsay McNeil,12/08/2021,65,Music,0.65
Trae Hare-Boyd,01/08/2021,55,Music,0.55
Trae Hare-Boyd,02/08/2021,56,Music,0.56
Trae Hare-Boyd,03/08/2021,57,Music,0.57
Trae Hare-Boyd,04/08/2021,58,Music,0.58
Trae Hare-Boyd,05/08/2021,59,Music,0.59
Trae Hare-Boyd,06/08/2021,60,Music,0.6
Trae Hare-Boyd,07/08/2021,61,Music,0.61
Trae Hare-Boyd,08/08/2021,62,Music,0.62
Trae Hare-Boyd,09/08/2021,63,Music,0.63
Trae Hare-Boyd,10/08/2021,64,Music,0.64
Trae Hare-Boyd,11/08/2021,65,Music,0.65
Trae Hare-Boyd,12/08/2021,66,Music,0.66
Asha Boswarva,01/08/2021,56,Music,0.56
Asha Boswarva,02/08/2021,57,Music,0.57
Asha Boswarva,03/08/2021,58,Music,0.58
Asha Boswarva,04/08/2021,59,Music,0.59
Asha Boswarva,05/08/2021,60,Music,0.6
Asha Boswarva,06/08/2021,61,Music,0.61
Asha Boswarva,07/08/2021,62,Music,0.62
Asha Boswarva,08/08/2021,63,Music,0.63
Asha Boswarva,09/08/2021,64,Music,0.64
Asha Boswarva,10/08/2021,65,Music,0.65
Asha Boswarva,11/08/2021,66,Music,0.66
Asha Boswarva,12/08/2021,67,Music,0.67
Jack Elkins,01/08/2021,57,Music,0.57
Jack Elkins,02/08/2021,58,Music,0.58
Jack Elkins,03/08/2021,59,Music,0.59
Jack Elkins,04/08/2021,60,Music,0.6
Jack Elkins,05/08/2021,61,Music,0.61
Jack Elkins,06/08/2021,62,Music,0.62
Jack Elkins,07/08/2021,63,Music,0.63
Jack Elkins,08/08/2021,64,Music,0.64
Jack Elkins,09/08/2021,65,Music,0.65
Jack Elkins,10/08/2021,66,Music,0.66
Jack Elkins,11/08/2021,67,Music,0.67
Jack Elkins,12/08/2021,68,Music,0.68
Alexander Ainsworth-Grace,01/08/2021,58,Music,0.58
Alexander Ainsworth-Grace,02/08/2021,59,Music,0.59
Alexander Ainsworth-Grace,03/08/2021,60,Music,0.6
Alexander Ainsworth-Grace,04/08/2021,61,Music,0.61
Alexander Ainsworth-Grace,05/08/2021,62,Music,0.62
Alexander Ainsworth-Grace,06/08/2021,63,Music,0.63
Alexander Ainsworth-Grace,07/08/2021,64,Music,0.64
Alexander Ainsworth-Grace,08/08/2021,65,Music,0.65
Alexander Ainsworth-Grace,09/08/2021,66,Music,0.66
Alexander Ainsworth-Grace,10/08/2021,67,Music,0.67
Alexander Ainsworth-Grace,11/08/2021,68,Music,0.68
Alexander Ainsworth-Grace,12/08/2021,69,Music,0.69
Ellis Teudt,01/08/2021,59,Music,0.59
Ellis Teudt,02/08/2021,60,Music,0.6
Ellis Teudt,03/08/2021,61,Music,0.61
Ellis Teudt,04/08/2021,62,Music,0.62
Ellis Teudt,05/08/2021,63,Music,0.63
Ellis Teudt,06/08/2021,64,Music,0.64
Ellis Teudt,07/08/2021,65,Music,0.65
Ellis Teudt,08/08/2021,66,Music,0.66
Ellis Teudt,09/08/2021,67,Music,0.67
Ellis Teudt,10/08/2021,68,Music,0.68
Ellis Teudt,11/08/2021,69,Music,0.69
Ellis Teudt,12/08/2021,70,Music,0.7
Isabel Binnekamp,01/08/2021,60,Music,0.6
Isabel Binnekamp,02/08/2021,61,Music,0.61
Isabel Binnekamp,03/08/2021,62,Music,0.62
Isabel Binnekamp,04/08/2021,63,Music,0.63
Isabel Binnekamp,05/08/2021,64,Music,0.64
Isabel Binnekamp,06/08/2021,65,Music,0.65
Isabel Binnekamp,07/08/2021,66,Music,0.66
Isabel Binnekamp,08/08/2021,67,Music,0.67
Isabel Binnekamp,09/08/2021,68,Music,0.68
Isabel Binnekamp,10/08/2021,69,Music,0.69
Isabel Binnekamp,11/08/2021,70,Music,0.7
Isabel Binnekamp,12/08/2021,71,Music,0.71
Ashlee Wilks,01/08/2021,61,Music,0.61
Ashlee Wilks,02/08/2021,62,Music,0.62
Ashlee Wilks,03/08/2021,63,Music,0.63
Ashlee Wilks,04/08/2021,64,Music,0.64
Ashlee Wilks,05/08/2021,65,Music,0.65
Ashlee Wilks,06/08/2021,66,Music,0.66
Ashlee Wilks,07/08/2021,67,Music,0.67
Ashlee Wilks,08/08/2021,68,Music,0.68
Ashlee Wilks,09/08/2021,69,Music,0.69
Ashlee Wilks,10/08/2021,70,Music,0.7
Ashlee Wilks,11/08/2021,71,Music,0.71
Ashlee Wilks,12/08/2021,72,Music,0.72
Sarah Kinghorn,01/08/2021,62,Music,0.62
Sarah Kinghorn,02/08/2021,63,Music,0.63
Sarah Kinghorn,03/08/2021,64,Music,0.64
Sarah Kinghorn,04/08/2021,65,Music,0.65
Sarah Kinghorn,05/08/2021,66,Music,0.66
Sarah Kinghorn,06/08/2021,67,Music,0.67
Sarah Kinghorn,07/08/2021,68,Music,0.68
Sarah Kinghorn,08/08/2021,69,Music,0.69
Sarah Kinghorn,09/08/2021,70,Music,0.7
Sarah Kinghorn,10/08/2021,71,Music,0.71
Sarah Kinghorn,11/08/2021,72,Music,0.72
Sarah Kinghorn,12/08/2021,73,Music,0.73
Grace O'Toole,01/08/2021,63,Music,0.63
Grace O'Toole,02/08/2021,64,Music,0.64
Grace O'Toole,03/08/2021,65,Music,0.65
Grace O'Toole,04/08/2021,66,Music,0.66
Grace O'Toole,05/08/2021,67,Music,0.67
Grace O'Toole,06/08/2021,68,Music,0.68
Grace O'Toole,07/08/2021,69,Music,0.69
Grace O'Toole,08/08/2021,70,Music,0.7
Grace O'Toole,09/08/2021,71,Music,0.71
Grace O'Toole,10/08/2021,72,Music,0.72
Grace O'Toole,11/08/2021,73,Music,0.73
Grace O'Toole,12/08/2021,74,Music,0.74
Penelope Butler,01/08/2021,64,Music,0.64
Penelope Butler,02/08/2021,65,Music,0.65
Penelope Butler,03/08/2021,66,Music,0.66
Penelope Butler,04/08/2021,67,Music,0.67
Penelope Butler,05/08/2021,68,Music,0.68
Penelope Butler,06/08/2021,69,Music,0.69
Penelope Butler,07/08/2021,70,Music,0.7
Penelope Butler,08/08/2021,71,Music,0.71
Penelope Butler,09/08/2021,72,Music,0.72
Penelope Butler,10/08/2021,73,Music,0.73
Penelope Butler,11/08/2021,74,Music,0.74
Penelope Butler,12/08/2021,75,Music,0.75
Eric Mullins,01/08/2021,65,Music,0.65
Eric Mullins,02/08/2021,66,Music,0.66
Eric Mullins,03/08/2021,67,Music,0.67
Eric Mullins,04/08/2021,68,Music,0.68
Eric Mullins,05/08/2021,69,Music,0.69
Eric Mullins,06/08/2021,70,Music,0.7
Eric Mullins,07/08/2021,71,Music,0.71
Eric Mullins,08/08/2021,72,Music,0.72
Eric Mullins,09/08/2021,73,Music,0.73
Eric Mullins,10/08/2021,74,Music,0.74
Eric Mullins,11/08/2021,75,Music,0.75
Eric Mullins,12/08/2021,76,Music,0.76
Rebecca Burchett,01/08/2021,66,Music,0.66
Rebecca Burchett,02/08/2021,67,Music,0.67
